iter	Logloss
0	0.6446100366
1	0.6135340133
2	0.6015929807
3	0.5892548368
4	0.5766414584
5	0.5694764327
6	0.5639220371
7	0.5558167623
8	0.5477514354
9	0.5433920173
10	0.5357272174
11	0.5242726323
12	0.5154234105
13	0.5084094984
14	0.5022993707
15	0.4972778707
16	0.4868361083
17	0.4756692797
18	0.4688189172
19	0.4606041846
20	0.4534448883
21	0.4458408694
22	0.4403001129
23	0.4306232502
24	0.4214427306
25	0.4160488145
26	0.4102713991
27	0.4005654038
28	0.3917257464
29	0.3850539092
30	0.3793111844
31	0.3690447024
32	0.3629228012
33	0.3577284439
34	0.3548714336
35	0.3506211263
36	0.3439891464
37	0.3397773063
38	0.3321628134
39	0.3243629925
40	0.3196926468
41	0.3112302353
42	0.3058104204
43	0.2983097659
44	0.2935265788
45	0.2881100943
46	0.2841243184
47	0.2804225991
48	0.2766856043
49	0.2684870494
50	0.2635743993
51	0.2595052351
52	0.2541022981
53	0.2496080133
54	0.2483021525
55	0.2449665552
56	0.2413590372
57	0.2379555893
58	0.232929408
59	0.2274435492
60	0.2228142232
61	0.2197262003
62	0.2139914815
63	0.2094122862
64	0.206257533
65	0.2019235814
66	0.1985832901
67	0.194005767
68	0.1908881935
69	0.1871036195
70	0.1840932192
71	0.1799433889
72	0.1770926971
73	0.1728618224
74	0.1714224887
75	0.1693112802
76	0.165624454
77	0.1624881842
78	0.160241314
79	0.1578593309
80	0.1554936658
81	0.1536140514
82	0.1512858163
83	0.1487834015
84	0.14690996
85	0.1450446569
86	0.1436893832
87	0.1421082666
88	0.138682976
89	0.1359225091
90	0.1358201184
91	0.1338786127
92	0.1312565859
93	0.1292478017
94	0.1282853999
95	0.1251392426
96	0.1231434389
97	0.1216522807
98	0.119978881
99	0.1169118416
100	0.1153463876
101	0.1139287873
102	0.1120308678
103	0.1117765638
104	0.109789771
105	0.107976894
106	0.1057018298
107	0.1041127172
108	0.1032431493
109	0.1023390242
110	0.1011606171
111	0.1002306996
112	0.09877459901
113	0.09743549599
114	0.09602182738
115	0.09457327439
116	0.09381792156
117	0.09317259922
118	0.0916393771
119	0.09042073123
120	0.08881701326
121	0.08690290612
122	0.08566661947
123	0.08480886339
124	0.08373451553
125	0.08260831593
126	0.08174217207
127	0.08076165737
128	0.0794683552
129	0.07845489877
130	0.0775453803
131	0.07648611915
132	0.07529898419
133	0.07455729509
134	0.07361309952
135	0.07257492752
136	0.07150330591
137	0.07058665861
138	0.06958311898
139	0.06887357552
140	0.06850315864
141	0.06787218143
142	0.06678083691
143	0.06506549848
144	0.06425129747
145	0.0632398285
146	0.06293147216
147	0.06242738035
148	0.06201436043
149	0.06162197636
150	0.06109190117
151	0.06051102328
152	0.05998982419
153	0.05941777145
154	0.05877912399
155	0.05795134614
156	0.05717545386
157	0.05632139654
158	0.05568602374
159	0.05509229459
160	0.0541036988
161	0.05326738111
162	0.05243163516
163	0.05131552967
164	0.05113050715
165	0.0509690093
166	0.04997097458
167	0.0496159112
168	0.04910440809
169	0.04885321882
170	0.0485081101
171	0.04778637687
172	0.04742094795
173	0.04700585415
174	0.04659836373
175	0.04607644085
176	0.0456010825
177	0.04515111116
178	0.04458561562
179	0.04432834762
180	0.04409835974
181	0.04359059437
182	0.04309046101
183	0.04254748273
184	0.04183570813
185	0.04148824306
186	0.04096190083
187	0.04067333219
188	0.03976370521
189	0.03951682485
190	0.03904456259
191	0.03885001939
192	0.03852859692
193	0.03827213649
194	0.03801393419
195	0.03767837661
196	0.03736871237
197	0.03707793385
198	0.0367920247
199	0.0367287111
200	0.03653061124
201	0.03640736138
202	0.03622964003
203	0.03555279214
204	0.03519211224
205	0.03496739647
206	0.03461149392
207	0.03415856207
208	0.03381761116
209	0.03343294927
210	0.03316304554
211	0.03301934791
212	0.03284046289
213	0.03223278377
214	0.03198028155
215	0.03165714379
216	0.03136064772
217	0.031146938
218	0.03072133717
219	0.0304747604
220	0.03020934167
221	0.02980179117
